I,Q
-1.02742,-0.324617
-0.665286,-0.287325
1.23079,0.205713
0.883445,0.196321
-0.997783,-0.275914
1.10729,0.1839
0.879578,0.106569
-1.02742,-0.532624
0.366244,-0.961185
0.931973,0.305337
-1.04256,-0.224009
0.305246,-0.846111
-0.183882,0.984362
0.363347,-1.01251
0.918507,0.277844
0.16658,-0.796203
-0.246297,1.09519
0.866721,0.218182
-0.111977,-1.02707
-1.06394,0.0923427
-0.165941,1.02482
0.21337,-0.927889
-0.111629,0.886608
0.339474,-0.92914
0.869156,0.266464
0.0268863,-0.831545
-1.06696,-0.160924
0.951575,0.364599
-1.09943,-0.140019
-0.216239,1.05873
-0.125915,0.803472
0.126545,-1.11955
0.128875,-1.03471
0.105521,-0.78967
-1.06821,0.15207
-0.173565,1.16781
-0.00165282,1.10582
1.0293,0.260503
0.82612,0.340174
-0.440343,0.943017
-0.271075,0.665234
0.237383,-0.976329
-0.290218,1.02801
-0.977692,-0.284964
-0.0948363,1.00437
-0.071274,0.802529
1.00974,-0.0133814
0.730304,-0.02127
-1.15289,-0.525978
0.132628,-1.0381
-1.13836,-0.135119
-0.921264,-0.132636
-0.161636,1.00314
-0.259655,0.748557
-0.860561,-0.404997
0.445826,-1.10074
1.00635,0.250998
-1.14939,-0.359471
0.255237,-0.895479
-0.993372,0.0426621
-0.101372,1.00842
0.528826,0.759025
-0.673595,-0.917531
-0.665866,0.714495
0.723235,0.745614
-0.74228,0.342149
0.955758,-0.774643
0.629065,-0.783247
-0.632956,-0.76383
-0.428048,-0.755654
1.01317,-0.425923
0.846371,-0.430031
0.560706,0.940191
0.519675,0.64863
0.677135,-0.603358
0.349582,0.740536
-1.12264,0.400954
-0.715268,-0.826491
-0.728375,0.551026
0.963737,-0.7461
-0.642379,-0.741939
0.735974,-0.542377
-0.767354,-0.4566
0.572957,1.00128
-0.881118,0.552182
-0.798506,0.423816
0.828762,-0.731365
-0.627194,-0.756159
0.561741,0.792542
-0.764772,-0.823332
-0.725631,0.60733
-0.422385,-0.801164
0.709607,0.8035
-0.60708,-0.817094
-0.608602,-0.642195
0.643645,0.874549
-0.592144,-0.866336
0.665634,0.856619
-0.517843,-0.941507
0.904235,-0.559799
0.70749,-0.444123
0.486749,0.947432
-0.732099,-0.658121
0.470407,0.907549
-0.855731,0.441245
-0.454986,-0.848469
0.6881,0.881812
-0.859646,0.403398
-0.440312,-0.857667
0.656424,0.730689
-0.512856,-0.862517
0.808007,-0.595078
-0.809995,0.635953
-0.385122,-0.764708
0.972064,-0.565677
0.560038,0.806818
-0.525622,-0.863581
0.96794,-0.664263
0.785089,-0.367729
0.601263,0.783322
-0.592946,-0.870015
0.7955,0.697019
0.750688,-0.630488
0.704123,-0.526839
0.547876,-0.566808
-0.886337,-0.770868
-0.696391,-0.559193
-0.474517,-0.526458
0.794593,-0.318574
-0.858095,0.867026
0.663667,-0.459848
-0.939681,0.866998
-0.608324,-0.525563
-0.722969,0.917344
-0.62938,0.787375
0.717053,0.940835
-0.619816,0.597294
0.813102,0.612006
-0.452633,-0.863587
1.04613,-0.421435
0.900025,-0.261253
0.429809,0.966229
-0.754331,0.805743
0.806487,0.898629
0.57849,0.944234
-0.800309,0.627353
0.689357,0.826864
0.687366,0.79412
0.532091,0.644837
0.407144,0.659335
0.353887,0.676967
-0.922883,0.497665
0.558737,0.676318
-0.832318,0.363852
0.711699,0.435149
-0.663415,-1.16005
-0.519843,-0.885818
0.743747,-0.613605
-0.675104,-0.667033
-0.517703,-0.62908
0.647318,1.03365
-0.70417,0.655746
0.793929,-0.645568
-0.734026,0.728387
0.817187,0.697666
0.830237,-0.698781
0.615506,0.785722
0.553885,-0.617908
-0.84468,0.609535
0.642071,0.642422
-0.660317,-0.923175
-0.477524,-0.80093
0.75763,0.839705
0.953078,-0.554854
0.60545,0.906176
0.515447,0.66648
0.633412,-0.591393
-0.897916,0.667781
0.521639,0.627749
-0.86208,0.410208
0.880853,-0.813074
0.553585,0.664008
0.596486,-0.831568
-0.721709,-0.863365
0.679184,-0.578801
-0.946792,0.629089
-0.66194,-0.897577
0.876422,-0.555435
0.631681,-0.41885
-0.963563,0.770229
0.589929,0.79968
-0.951939,0.468906
-0.642027,-0.805544
-0.736833,0.718603
0.713837,0.584544
-0.683695,-0.763388
0.738545,0.878182
0.767761,-0.520236
0.425778,0.779672
0.37595,0.719824
-1.06834,0.322184
-0.699882,-1.04539
-0.643183,-0.676918
-0.684161,0.641605
0.787621,-0.620851
-0.941981,0.653153
-0.647917,0.483051
0.803675,-0.760706
-0.919852,0.566607
-0.64273,-0.89123
-0.402216,-0.779207
-0.453866,-0.725788
0.747252,0.950066
0.513707,0.643062
-0.630235,-0.777845
0.665392,0.883525
-0.731491,0.360475
0.807148,-0.793016
-0.63655,-0.845227
0.843934,-0.48688
-0.652349,-0.619905
0.655193,0.986433
0.361544,0.704182
-0.665174,-0.752297
-0.760149,0.564684
0.686711,0.799603
0.726332,-0.673948
-0.941773,0.643888
-0.853358,0.608192
-0.631,0.461208
-0.374021,-0.937641
0.897496,-0.451578
-0.625242,0.69224
0.774234,0.718319
0.723561,0.456688
0.733389,-0.801913
0.633335,-0.736323
0.533574,-0.750511
-0.694228,-0.829029
-0.741818,0.684207
0.835702,-0.683466
-0.636879,-0.629743
0.794818,-0.439327
0.535117,0.73705
0.539938,-0.65625
-0.815149,-0.617112
-0.711231,0.670619
0.614211,0.767014
-0.643355,-0.990071
-0.492039,-0.831501
-0.390478,-0.637615
1.03823,-0.35147
0.840199,-0.401117
0.48555,1.07278
0.412118,0.842638
-0.944369,0.677331
-0.791973,0.624405
0.718885,0.730708
0.736859,-0.621955
-0.803836,0.735433
0.52865,0.582195
-0.552685,-0.785564
0.644969,0.870781
0.569583,0.602822
0.609471,-0.741376
0.30943,0.753287
-0.86715,-0.734977
-0.856026,0.605119
-0.615421,-0.782981
-0.70019,0.737545
0.75994,0.64382
0.659203,-0.841436
-0.75905,-0.628353
-0.755531,0.776103
0.521265,0.77206
-0.717284,-0.885785
-0.836442,0.473288
-0.538007,-0.858786
-0.365934,-0.716758
-0.488148,-0.562659
0.658115,0.874192
-0.813746,0.471242
-0.419928,-0.85625
-0.264285,-0.685667
1.05759,-0.410541
0.886144,-0.319615
0.61357,1.14696
0.419994,0.848343
-0.843757,0.486952
-0.598246,0.568516
0.984,-0.507717
0.664803,0.803526
0.59632,0.795595
0.674813,0.592314
0.607857,0.552797
0.760354,-0.747141
0.345402,0.628428
-0.78919,-0.948416
-0.62858,-0.799535
-0.526275,-0.655296
-0.535542,0.74355
1.09034,-0.61133
0.680948,-0.379774
0.411901,0.902374
-0.701128,-0.594562
0.650479,0.99324
0.625121,0.83783
0.477626,0.701842
-0.821656,0.54736
0.740357,0.588237
0.703636,-0.577087
0.358739,0.790347
-0.838913,0.407216
0.848146,-0.746115
0.642261,-0.670816
-0.70202,-0.601895
-0.884656,0.77331
0.596386,0.701019
-0.94648,0.53385
-0.545205,-0.892916
0.687546,0.795784
-0.570147,-0.83376
0.591552,0.74221
-0.627673,-0.817206
0.618117,0.745307
0.427975,0.750913
-0.719716,-1.03543
-0.738635,0.443355
-0.435838,-0.922784
0.829346,-0.616619
-0.516357,-0.857212
0.853345,-0.578066
0.584679,-0.519999
-0.764242,-0.715342
-0.536954,-0.529409
0.543714,1.0833
-0.855778,0.641048
-0.655276,-0.779928
-0.588266,0.761831
0.896291,0.845815
0.665174,0.668462
0.819504,-0.666183
0.473915,0.777438
0.461211,0.706429
-0.751405,-0.88445
0.486483,0.863513
-0.881884,-0.866111
-0.589074,-0.580977
-0.760238,0.645649
-0.574249,0.557471
1.0893,-0.575514
0.751289,-0.359025
-0.96495,0.733536
-0.734642,0.697445
-0.638824,0.785757
0.834299,0.799843
0.513155,0.826371
-0.701199,0.644572
0.522128,0.532236
-0.768545,0.5141
0.6205,0.586033
-0.974729,-0.0719025
0.104737,0.700864
-0.0970296,-1.21739
-0.974253,-0.108981
0.0860782,-1.09119
-0.000807258,0.799657
0.0668731,-1.22408
0.21357,-1.12528
0.0570222,-1.18758
0.00214542,-0.964173
-0.031583,-1.03405
-0.00690323,-0.808078
-0.140007,-0.779493
-1.01379,0.227662
0.176373,-0.652515
0.856121,0.376519
-0.261686,1.22986
-0.930008,0.0726922
0.0739272,1.03341
-0.942035,-0.198331
-0.787941,-0.0892062
0.244878,-0.830973
0.0160159,1.26821
0.0668903,0.806101
-0.93385,-0.219018
0.160518,-1.10148
0.0726597,-0.776217
-0.0238815,1.09641
0.116695,-0.946498
0.117329,1.25077
0.087079,0.920024
-0.00311192,0.815051
-0.780967,-0.279421
1.1395,-0.153759
0.129502,-1.17935
1.03242,-0.0296809
-0.187868,0.960518
-0.129397,-1.16759
-0.96975,-0.140655
-0.732636,-0.140825
0.18075,-1.11182
0.0980202,-0.923471
-0.780088,0.0340037
1.21483,0.0630733
0.0135083,-0.946783
0.169929,-0.77976
0.167227,1.10535
1.16514,-0.0785539
0.902675,0.0380136
-0.950311,0.0354503
0.987039,0.00236363
-0.0691117,-0.90906
-0.794049,0.164686
0.228074,1.04777
1.27678,-0.0476984
1.09707,-0.0507234
0.975183,-0.185576
-0.0228411,-1.02368
0.956347,0.0315988
-0.0472098,-1.01221
0.872908,0.120473
-0.191971,-0.932217
-1.03385,0.0604055
0.223263,-0.683595
0.137522,1.15411
0.989307,0.151211
-0.882,0.0179177
1.22402,0.177521
0.914228,0.1105
-0.0796858,0.918927
1.04775,0.0726777
-0.0695449,0.847217
1.07287,-0.0926843
0.939668,0.0206766
-0.150173,0.883395
0.992161,-0.313215
0.809869,-0.0867256
0.683876,-0.174949
-0.349434,0.775934
-0.279673,-1.32849
-0.250214,-1.17615
-0.234954,-0.799877
-1.03812,0.0563297
0.0166765,-0.959308
-0.175659,-0.937456
-0.985322,0.0951247
0.118575,-0.664752
0.129121,1.10918
1.08852,0.106254
-0.0137439,0.99828
0.885031,-0.0841229
-0.377576,-0.958614
-1.16209,0.0943211
-0.988671,0.199995
-0.022681,1.07813
-1.00795,0.0636413
0.161408,0.979558
0.0857875,0.80121
1.15529,-0.15849
0.841108,-0.0943383
-0.33832,0.751319
-0.264649,-1.12921
-1.21593,-0.10818
-0.980309,-0.0403905
-0.839983,-0.150323
0.33968,-0.910732
0.159373,0.977461
1.05927,-0.112013
-0.0350957,-0.998848
0.766007,0.0985241
-1.01356,-0.035916
0.00119276,0.909654
-1.00469,-0.312712
0.19743,-1.0766
-0.770966,0.044073
1.24228,0.0113771
1.10988,0.114504
-0.0819442,0.928652
0.103501,-1.19126
1.06421,-0.0758158
0.855542,0.00118386
-0.117609,-1.06915
-0.0248301,-0.773393
0.110034,1.08232
0.995437,0.0173351
0.819594,-0.0227516
0.759019,0.0331471
-1.04873,-0.0550925
0.103822,0.814048
0.0169506,-1.17541
0.888645,0.0486319
-1.06849,-0.114167
1.04064,-0.12136
0.850344,-0.111137
-0.324035,-1.00201
-1.18547,-0.126431
-0.110944,-0.851742
-0.119327,1.165
-0.882817,-0.0557314
0.103961,0.931082
0.966661,-0.23234
-0.00637216,-1.09442
0.83124,-0.049193
-0.052855,-1.08754
-0.0878273,-0.850359
-0.107961,1.13279
-1.04123,-0.187
-0.0560326,-0.938877
-0.0232918,-0.844971
-0.861537,0.182911
0.928412,0.134495
-0.147004,0.954859
-0.127458,-0.968863
-0.960788,0.323185
1.05504,0.188323
-0.204985,1.17024
-1.1061,-0.0352589
-0.922962,0.0625767
0.0953651,1.15
0.0104115,0.871451
-0.864472,-0.210539
0.2829,0.873852
0.207945,0.831116
1.03449,-0.260747
0.0710418,0.670592
-0.0499215,-1.21174
-0.912687,-0.0364996
0.226415,0.910605
0.136951,0.607646
1.09568,-0.256596
0.0284722,-1.35327
0.107047,-1.178
0.181985,-0.928925
1.16653,0.113568
0.948532,-0.0867114
0.941183,-0.181501
-0.113793,-0.993197
-0.0607805,1.00217
1.14532,-0.179248
-0.00474785,-1.09493
0.09085,-0.981801
1.01726,0.137058
0.853944,0.00997811
0.724199,-0.0233155
-0.178584,-1.09408
-0.105999,-0.754136
-0.097253,1.22045
0.00381682,0.830609
0.0558941,-1.09744
0.895549,0.0842872
-0.13485,1.0244
0.810727,-0.0941871
-1.35836,-0.329167
-0.0956395,-1.07843
-0.981104,-0.010208
0.124291,-0.916285
-0.086522,1.04979
-0.872689,-0.112725
0.277743,-1.01547
1.11268,0.155984
0.989255,0.148202
0.7627,0.0388633
-1.0704,-0.0349342
0.9196,0.107807
-0.203461,0.867747
-0.916298,-0.247489
1.07007,-0.228777
0.13233,-1.01527
0.950295,0.109923
-0.0510927,-1.00225
0.962436,0.224332
-0.16683,0.973153
1.00953,-0.114405
-0.168022,-0.930289
-0.0440003,1.03853
-0.0657672,-1.05399
-0.00961394,0.952306
0.983358,-0.123955
0.00486423,-1.08239
0.857583,0.0242802
-0.192924,-0.958262
0.874214,0.21105
-0.245163,0.966828
-0.134783,-1.07779
-1.15016,-0.0374858
0.0950811,-0.88917
1.00389,0.348396
-0.149432,0.99525
-0.04045,-1.00844
0.847647,0.100118
-0.226078,1.09783
0.75954,-0.0477109
-1.22516,0.0815899
-0.0631251,0.874689
-0.995052,-0.119838
-0.0330531,0.770165
0.0181481,-1.18878
-0.0718572,-1.01972
-0.900272,0.051185
1.06144,0.0753915
-0.0775439,-0.891262
-1.03149,0.184429
0.0782797,0.994654
-0.926707,-0.134963
0.360334,-0.992211
1.2548,0.166395
0.985356,0.0364082
0.856147,0.0236521
-0.106534,0.987915
-0.00323306,-1.06688
1.05318,0.0507018
