I,Q
0.603438,0.611397
-0.642349,-0.768553
0.779647,0.631525
-0.736879,0.6679
0.749226,0.664448
0.734269,0.659055
0.689445,-0.740425
0.668582,-0.738678
-0.771373,0.641339
-0.717987,-0.75199
-0.702156,0.739338
-0.718352,0.689815
0.691378,0.695694
0.651268,0.720921
-0.64391,0.768548
-0.758668,-0.758447
0.769862,-0.793106
-0.79685,0.774883
-0.688137,-0.707637
-0.654329,0.802602
0.693045,0.722894
0.756059,-0.692879
-0.810802,0.706322
0.735477,0.69911
0.762941,-0.741602
0.707803,0.766925
-0.619463,-0.735629
-0.737124,-0.607197
-0.638042,0.681043
-0.718099,0.709387
-0.643103,-0.752087
-0.743208,-0.735577
0.692827,-0.701747
0.622724,-0.681013
-0.699963,-0.754541
0.624416,-0.739392
0.661523,0.805862
-0.653831,0.755801
0.732044,0.750676
-0.715768,-0.851133
-0.647996,0.700916
-0.723237,-0.699614
-0.572003,0.780708
0.755889,-0.750443
0.675392,0.683994
0.688501,0.819023
-0.68748,-0.707412
-0.739769,0.704094
0.698822,-0.705651
-0.7195,0.755287
0.70409,0.680514
-0.724132,0.674155
0.740552,-0.757437
-0.641752,0.670053
-0.649654,0.84325
0.776537,-0.641653
-0.773604,0.794384
0.804891,-0.670356
-0.7593,0.74158
-0.722287,-0.664957
-0.719976,-0.632711
0.768107,-0.731816
-0.644123,0.744408
0.73181,-0.629244
0.62983,0.714179
-0.788128,0.667753
0.729113,-0.775819
0.649355,0.759843
-0.717269,0.698751
0.722341,-0.655296
-0.655355,0.686631
-0.748947,-0.677269
0.753259,0.736662
-0.602026,0.703134
-0.750734,-0.683841
0.748168,-0.643091
-0.675893,0.73172
-0.81644,-0.699611
-0.617371,-0.691569
0.655306,-0.781135
-0.805092,0.712295
0.592422,-0.779959
-0.637791,-0.699802
-0.623595,-0.756327
-0.692384,-0.736209
-0.773,0.747742
-0.636309,0.721994
-0.67713,0.634664
-0.740649,-0.740471
0.734552,0.717792
-0.754057,-0.642534
0.767774,0.719603
-0.659797,0.700546
0.725831,0.715914
0.716038,0.763782
0.782155,-0.662339
0.694137,0.688076
0.633515,-0.744071
-0.724668,0.716383
-0.670987,-0.767226
-0.659557,-0.807852
0.601639,-0.614406
0.716494,0.698554
0.669571,-0.794973
0.790745,-0.760112
0.691496,0.746896
0.724522,-0.649203
0.725352,-0.766347
0.614368,-0.66929
0.653983,-0.597862
0.70419,-0.637008
0.724963,0.750863
0.765535,-0.712417
0.698268,0.720249
0.68571,-0.836731
-0.767724,0.672975
-0.691395,0.691618
-0.676847,-0.660077
-0.630988,0.702932
-0.751588,0.736469
0.77863,-0.685268
0.807266,0.688795
-0.741929,-0.621532
0.750923,0.755331
0.717603,-0.715453
-0.745763,-0.687705
0.725056,-0.755786
-0.672314,-0.626374
0.675675,0.704857
0.718807,-0.759404
-0.683852,0.708982
-0.814519,0.751476
0.687851,-0.652356
-0.725212,-0.815514
0.724364,-0.748674
0.684741,-0.692314
-0.656492,-0.753117
0.723937,0.69642
0.641992,-0.660901
0.733706,0.791394
-0.775403,-0.706185
0.721964,-0.71964
-0.712326,-0.702586
-0.730748,0.687037
-0.76453,-0.728141
0.734147,0.69801
-0.736515,0.841394
-0.750251,-0.731715
-0.735946,-0.732667
0.665309,0.753487
0.664644,-0.800738
0.664778,0.706963
-0.730807,0.721086
0.733042,0.76874
0.587526,-0.724108
-0.655206,0.839747
0.77996,-0.718781
-0.62167,-0.733978
0.646166,-0.662935
0.73881,-0.751766
0.673186,0.745017
-0.784479,0.71831
-0.65046,0.708065
0.719702,0.68982
-0.725368,-0.717352
0.716445,0.76514
0.714634,0.6674
-0.767637,-0.718194
0.766801,0.738299
-0.652606,0.795065
-0.747214,0.641089
-0.781902,0.717004
0.722874,-0.696275
0.65377,-0.634346
-0.677473,0.744112
0.774471,-0.748189
0.644787,0.696001
-0.706757,-0.682463
-0.735955,0.767259
-0.668466,-0.746452
-0.745273,0.760173
0.713427,-0.701754
0.685095,-0.570827
-0.691539,0.654504
0.550508,0.796063
0.777307,-0.677205
-0.763009,-0.770221
0.667845,0.698214
0.772652,0.778104
0.750654,0.676687
-0.715783,0.717984
-0.626334,-0.673106
0.70921,0.687135
0.731628,-0.649269
0.629837,-0.703222
-0.629997,-0.63358
-0.690014,-0.608222
-0.787983,-0.613479
-0.846784,0.65664
0.761167,0.729348
-0.698204,-0.703106
-0.577052,0.759797
-0.668,-0.621184
0.617525,-0.665087
-0.706872,-0.635836
-0.673748,0.742534
0.621541,0.685037
0.793509,-0.714881
-0.766045,0.692667
-0.791076,0.677755
-0.700186,0.707226
-0.666732,-0.766099
-0.832046,-0.735606
0.683581,-0.669347
0.617601,-0.69227
0.70506,0.716871
0.712575,0.820408
0.736847,-0.681709
-0.709418,-0.736833
0.763688,0.66982
0.611712,-0.598321
-0.705605,0.682294
0.725998,-0.656109
0.651437,-0.684584
-0.773425,-0.647339
0.717136,-0.670885
-0.608041,0.7074
0.718719,0.684149
-0.711694,0.721052
0.768152,0.749592
0.70013,-0.735364
-0.804761,-0.689946
-0.647054,0.687127
0.769929,0.689137
0.832603,-0.660306
-0.694336,0.694737
0.657725,0.764519
-0.65481,0.71469
-0.68655,0.568671
-0.655418,0.756804
0.665227,-0.657472
0.678216,0.782025
-0.68234,0.7124
-0.684105,0.674411
-0.680939,-0.696433
-0.715702,-0.700085
0.799919,-0.723628
0.699819,-0.616561
0.57323,0.746503
0.71913,0.741314
-0.636536,-0.66962
0.612479,-0.649917
0.734209,-0.636178
0.602377,-0.740141
0.67376,-0.729255
-0.714258,-0.794244
0.692316,-0.680948
-0.68127,0.688333
-0.709447,0.686463
-0.719564,0.68378
0.758181,0.662796
-0.733111,-0.812724
-0.647501,-0.602027
0.714999,-0.603443
-0.631425,0.80463
0.717212,-0.641062
0.695618,-0.733385
0.641443,-0.691581
0.715926,0.727131
0.654023,-0.743381
-0.594639,-0.698795
0.753492,-0.638445
0.719259,0.70406
-0.656264,-0.762038
-0.742543,-0.771211
-0.672843,0.555274
0.735749,0.771501
0.633024,-0.743499
0.803432,0.754097
-0.732864,0.74388
0.760344,-0.759204
-0.702648,0.667342
0.699625,-0.690235
-0.706753,0.727098
0.628322,-0.66774
0.873978,-0.689951
-0.790123,0.67729
0.66621,0.667914
-0.662565,0.67548
-0.631877,-0.688319
-0.767206,0.663364
-0.731585,-0.710059
-0.689911,-0.661049
-0.783743,0.720472
-0.763015,0.667765
0.746939,-0.686132
0.71682,0.688628
-0.792502,0.837694
0.646497,0.748544
0.685719,-0.759024
0.66657,-0.668661
-0.776204,-0.740105
0.616345,-0.660454
0.731818,-0.758328
-0.76047,0.717352
0.809315,-0.729664
-0.691931,0.808846
-0.656636,0.631031
0.58497,0.733781
0.664998,0.700886
-0.699423,-0.867633
-0.671496,-0.828507
0.603926,0.73132
0.649192,0.682827
0.794993,0.730076
0.669739,-0.769058
0.769812,-0.671837
0.79993,0.599383
0.556557,-0.585576
0.726979,0.723757
0.6954,-0.634128
0.684327,0.667138
0.600827,-0.705905
-0.664859,0.735239
0.740365,0.684677
-0.692814,0.757118
0.715708,-0.635072
